 ANGLE     YOUNG     LANKF       D(1,1)    D(2,2)    D(3,3)    D(1,2)       S(1,1)    S(1,2)
   0.0     224.8      0.88       0.8165   -0.3824   -0.4341    0.0000        5.205    -0.028
  10.0     221.2      0.98       0.8165   -0.4032   -0.4133    0.0000        5.130    -0.138
  20.0     213.6      1.27       0.8165   -0.4575   -0.3590    0.0000        4.929    -0.185
  30.0     206.5      1.71       0.8165   -0.5155   -0.3010    0.0000        4.697    -0.145
  40.0     203.5      2.12       0.8165   -0.5547   -0.2618    0.0000        4.553    -0.057
  50.0     206.4      2.14       0.8165   -0.5563   -0.2602    0.0000        4.570     0.100
  60.0     215.2      1.87       0.8165   -0.5317   -0.2848    0.0000        4.745     0.290
  70.0     227.5      1.58       0.8165   -0.4995   -0.3170    0.0000        4.983     0.375
  80.0     238.6      1.39       0.8165   -0.4753   -0.3412    0.0000        5.168     0.282
  90.0     242.6      1.29       0.8165   -0.4604   -0.3561    0.0000        5.229     0.015
